Column1;Column2
0016299-84.2012.8.17.0001;/TJPE/CAPITAL/FAZENDA/VFAZ07/0016299-84.2012.8.17.0001
0007493-12.2002.8.17.0001;/TJPE/CAPITAL/FAZENDA/VFAZ07/0007493-12.2002.8.17.0001
0000000-01.2002.0.07.4930;/TJPE/CAPITAL/FAZENDA/VFAZ02/0000000-01.2002.0.07.4930
0039009-84.2001.8.17.0001;/TJPE/CAPITAL/FAZENDA/VFAZ01/0039009-84.2001.8.17.0001
0033998-84.1995.8.17.0001;/TJPE/CAPITAL/FAZENDA/VFAZ01/0033998-84.1995.8.17.0001
0067217-29.2011.8.17.0001;/TJPE/CAPITAL/FAZENDA/VFAZ07/0067217-29.2011.8.17.0001
0017381-53.2012.8.17.0001;/TJPE/CAPITAL/FAZENDA/VFAZ05/0017381-53.2012.8.17.0001
0007220-84.2012.8.17.0000;/TJPE/CAPITAL/FAZENDA/VFAZ05/0007220-84.2012.8.17.0000
0021840-98.2012.8.17.0001;/TJPE/CAPITAL/FAZENDA/VFAZ05/0021840-98.2012.8.17.0001
0013355-36.2017.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM05/0013355-36.2017.8.17.0001
0033958-67.2016.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM05/0033958-67.2016.8.17.0001
0034078-47.2015.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM05/0034078-47.2015.8.17.0001
0191759-85.2012.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM05/0191759-85.2012.8.17.0001
0081672-96.2011.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM01/0081672-96.2011.8.17.0001
0082977-13.2014.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM01/0082977-13.2014.8.17.0001
0000187-64.2017.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM01/0000187-64.2017.8.17.0001
0001188-16.2019.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM01/0001188-16.2019.8.17.0001
0005355-76.2019.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM01/0005355-76.2019.8.17.0001
0024059-74.2018.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM01/0024059-74.2018.8.17.0001
0002074-78.2020.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM01/0002074-78.2020.8.17.0001
0014727-49.2019.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM01/0014727-49.2019.8.17.0001
0000598-39.2019.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM01/0000598-39.2019.8.17.0001
0003409-23.1215.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM01/0003409-23.1215.8.17.0001
0009396-28.2018.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM01/0009396-28.2018.8.17.0001
0021725-33.2019.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM01/0021725-33.2019.8.17.0001
0017787-35.2016.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM01/0017787-35.2016.8.17.0001
0015807-53.2016.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM01/0015807-53.2016.8.17.0001
0041311-95.2015.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM01/0041311-95.2015.8.17.0001
0032407-86.2015.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM01/0032407-86.2015.8.17.0001
0003183-69.2016.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM01/0003183-69.2016.8.17.0001
0049108-25.2015.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM01/0049108-25.2015.8.17.0001
0017919-87.2019.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM13/0017919-87.2019.8.17.0001
0000589-09.2021.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM13/0000589-09.2021.8.17.0001
0015083-44.2019.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM13/0015083-44.2019.8.17.0001
0017361-18.2019.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM13/0017361-18.2019.8.17.0001
0017783-61.2017.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM06/0017783-61.2017.8.17.0001
0155882-89.2009.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM06/0155882-89.2009.8.17.0001
0001048-11.2021.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM15/0001048-11.2021.8.17.0001
0019116-77.2019.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM15/0019116-77.2019.8.17.0001
0001202-97.2019.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM15/0001202-97.2019.8.17.0001
0021244-70.2019.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM15/0021244-70.2019.8.17.0001
0001951-46.2021.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM15/0001951-46.2021.8.17.0001
0009843-74.2019.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM15/0009843-74.2019.8.17.0001
0001868-30.2021.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM15/0001868-30.2021.8.17.0001
0019563-65.2019.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM15/0019563-65.2019.8.17.0001
0017399-30.2019.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM01/0017399-30.2019.8.17.0001
0014022-51.2019.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM01/0014022-51.2019.8.17.0001
0014961-70.2015.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM01/0014961-70.2015.8.17.0001
0028125-44.2011.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM01/0028125-44.2011.8.17.0001
0002840-68.2019.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM01/0002840-68.2019.8.17.0001
0001969-67.2021.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM01/0001969-67.2021.8.17.0001
0000964-10.2021.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM01/0000964-10.2021.8.17.0001
0009435-88.2016.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM01/0009435-88.2016.8.17.0001
0060599-28.2015.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM01/0060599-28.2015.8.17.0001
0006779-61.2016.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM01/0006779-61.2016.8.17.0001
0012927-83.2019.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM01/0012927-83.2019.8.17.0001
0019770-64.2019.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM01/0019770-64.2019.8.17.0001
0007619-71.2016.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM01/0007619-71.2016.8.17.0001
0012569-21.2019.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM15/0012569-21.2019.8.17.0001
0003504-65.2020.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM15/0003504-65.2020.8.17.0001
0008272-34.2020.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM15/0008272-34.2020.8.17.0001
0097770-98.2007.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM15/0097770-98.2007.8.17.0001
0030289-21.2007.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM15/0030289-21.2007.8.17.0001
0012303-68.2018.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM15/0012303-68.2018.8.17.0001
0060182-52.2010.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM15/0060182-52.2010.8.17.0001
0021103-51.2019.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM15/0021103-51.2019.8.17.0001
0000590-91.2021.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM15/0000590-91.2021.8.17.0001
0004138-61.2020.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM15/0004138-61.2020.8.17.0001
0012382-47.2018.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM15/0012382-47.2018.8.17.0001
0008168-76.2019.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM15/0008168-76.2019.8.17.0001
0002564-66.2021.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM15/0002564-66.2021.8.17.0001
0003606-87.2020.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM15/0003606-87.2020.8.17.0001
0002363-45.2019.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM15/0002363-45.2019.8.17.0001
0021948-54.2017.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM15/0021948-54.2017.8.17.0001
0021083-60.2019.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM15/0021083-60.2019.8.17.0001
0006456-17.2020.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM15/0006456-17.2020.8.17.0001
0003114-95.2020.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM15/0003114-95.2020.8.17.0001
0055116-57.2011.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM15/0055116-57.2011.8.17.0001
0155983-29.2009.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM02/0155983-29.2009.8.17.0001
0016190-07.2011.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM02/0016190-07.2011.8.17.0001
0008254-52.2016.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM02/0008254-52.2016.8.17.0001
0012593-30.2011.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM02/0012593-30.2011.8.17.0001
0002097-29.2017.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM02/0002097-29.2017.8.17.0001
0120810-80.2005.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM02/0120810-80.2005.8.17.0001
0059213-81.2003.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM02/0059213-81.2003.8.17.0001
0002834-95.2018.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM02/0002834-95.2018.8.17.0001
0020799-52.2019.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM02/0020799-52.2019.8.17.0001
0001339-16.2018.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM02/0001339-16.2018.8.17.0001
0000109-31.2021.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM02/0000109-31.2021.8.17.0001
0005979-62.2018.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM02/0005979-62.2018.8.17.0001
0006599-11.2017.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM02/0006599-11.2017.8.17.0001
0049326-53.2015.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM02/0049326-53.2015.8.17.0001
0024207-85.2018.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM02/0024207-85.2018.8.17.0001
0730067-90.1999.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM02/0730067-90.1999.8.17.0001
0006773-25.2014.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM02/0006773-25.2014.8.17.0001
0009812-64.2013.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM02/0009812-64.2013.8.17.0001
0096492-52.2013.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM02/0096492-52.2013.8.17.0001
0011274-17.2017.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM02/0011274-17.2017.8.17.0001
0000278-91.2016.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM06/0000278-91.2016.8.17.0001
0010109-66.2016.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM06/0010109-66.2016.8.17.0001
0019882-09.2014.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM06/0019882-09.2014.8.17.0001
0000632-43.2021.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM06/0000632-43.2021.8.17.0001
0004954-14.2018.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM06/0004954-14.2018.8.17.0001
0015425-85.2001.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM02/0015425-85.2001.8.17.0001
0014680-75.2019.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM02/0014680-75.2019.8.17.0001
0010809-37.2019.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM02/0010809-37.2019.8.17.0001
0005383-10.2020.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM02/0005383-10.2020.8.17.0001
0016015-66.2018.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM02/0016015-66.2018.8.17.0001
0001400-66.2021.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM02/0001400-66.2021.8.17.0001
0013958-80.2015.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM02/0013958-80.2015.8.17.0001
0054300-70.2014.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM02/0054300-70.2014.8.17.0001
0002940-52.2021.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM02/0002940-52.2021.8.17.0001
0020100-32.2017.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM02/0020100-32.2017.8.17.0001
0008850-36.2016.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM02/0008850-36.2016.8.17.0001
0002970-58.2019.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM02/0002970-58.2019.8.17.0001
0006530-71.2020.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM02/0006530-71.2020.8.17.0001
0018557-62.2015.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM02/0018557-62.2015.8.17.0001
0026377-64.2017.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM02/0026377-64.2017.8.17.0001
0047647-18.2015.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM02/0047647-18.2015.8.17.0001
0008833-97.2016.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM02/0008833-97.2016.8.17.0001
0012206-68.2018.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM02/0012206-68.2018.8.17.0001
0057376-68.2015.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM02/0057376-68.2015.8.17.0001
0192706-42.2012.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM02/0192706-42.2012.8.17.0001
0023116-09.2008.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM02/0023116-09.2008.8.17.0001
0019195-71.2010.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM02/0019195-71.2010.8.17.0001
0013057-10.2018.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM02/0013057-10.2018.8.17.0001
0035628-82.2012.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM02/0035628-82.2012.8.17.0001
0003528-82.2012.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM02/0003528-82.2012.8.17.0001
0173958-59.2012.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM02/0173958-59.2012.8.17.0001
0011368-48.2006.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM02/0011368-48.2006.8.17.0001
0004276-28.2020.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM02/0004276-28.2020.8.17.0001
0004188-87.2020.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM02/0004188-87.2020.8.17.0001
0027435-39.2016.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM02/0027435-39.2016.8.17.0001
0000279-42.2017.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM02/0000279-42.2017.8.17.0001
0067918-19.2013.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM02/0067918-19.2013.8.17.0001
0005762-48.2020.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM02/0005762-48.2020.8.17.0001
0014945-82.2016.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM02/0014945-82.2016.8.17.0001
0004550-89.2020.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM02/0004550-89.2020.8.17.0001
0002535-16.2021.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM01/0002535-16.2021.8.17.0001
0000814-15.9202.0.81.7001;/TJPE/CAPITAL/CRIMINAL/VCRIM01/0000814-15.9202.0.81.7001
0005267-04.2020.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM01/0005267-04.2020.8.17.0001
0001068-02.2021.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM01/0001068-02.2021.8.17.0001
0001858-20.2020.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM01/0001858-20.2020.8.17.0001
0007016-56.2020.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM01/0007016-56.2020.8.17.0001
0002532-61.2021.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM01/0002532-61.2021.8.17.0001
0025127-93.2017.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM02/0025127-93.2017.8.17.0001
0009813-64.2004.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM02/0009813-64.2004.8.17.0001
0015308-64.2019.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM02/0015308-64.2019.8.17.0001
0013802-87.2018.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM02/0013802-87.2018.8.17.0001
0009992-36.2020.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM02/0009992-36.2020.8.17.0001
0003621-27.2018.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM02/0003621-27.2018.8.17.0001
0049066-10.2014.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM02/0049066-10.2014.8.17.0001
0034202-93.2016.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM02/0034202-93.2016.8.17.0001
0008677-70.2020.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM02/0008677-70.2020.8.17.0001
0000622-33.2020.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM02/0000622-33.2020.8.17.0001
0033197-08.1994.8.17.0001;/TJPE/CAPITAL/FAZENDA/VFAZ01/0033197-08.1994.8.17.0001
0096338-34.2013.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM02/0096338-34.2013.8.17.0001
0002027-41.2019.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM02/0002027-41.2019.8.17.0001
0016138-30.2019.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM02/0016138-30.2019.8.17.0001
0016936-93.2016.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM02/0016936-93.2016.8.17.0001
0008556-13.2018.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM02/0008556-13.2018.8.17.0001
0011106-78.2018.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM02/0011106-78.2018.8.17.0001
0027007-57.2016.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM02/0027007-57.2016.8.17.0001
0082176-97.2014.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM02/0082176-97.2014.8.17.0001
0066776-09.2015.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM02/0066776-09.2015.8.17.0001
0049936-21.2015.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM02/0049936-21.2015.8.17.0001
0002516-20.2015.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM02/0002516-20.2015.8.17.0001
0063098-83.2015.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM02/0063098-83.2015.8.17.0001
0014710-13.2019.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM19/0014710-13.2019.8.17.0001
0015494-87.2019.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM19/0015494-87.2019.8.17.0001
0001034-27.2021.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM19/0001034-27.2021.8.17.0001
0015548-53.2019.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM01/0015548-53.2019.8.17.0001
0020273-22.2018.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM01/0020273-22.2018.8.17.0001
0007797-78.2020.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM01/0007797-78.2020.8.17.0001
0017486-83.2019.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM01/0017486-83.2019.8.17.0001
0096984-83.2009.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM07/0096984-83.2009.8.17.0001
0029063-63.2016.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM07/0029063-63.2016.8.17.0001
0006581-78.2003.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM07/0006581-78.2003.8.17.0001
0031979-07.2015.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM07/0031979-07.2015.8.17.0001
0002238-43.2020.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM07/0002238-43.2020.8.17.0001
0023169-38.2018.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM07/0023169-38.2018.8.17.0001
0014269-32.2019.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM07/0014269-32.2019.8.17.0001
0171672-11.2012.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM07/0171672-11.2012.8.17.0001
0017374-17.2019.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM08/0017374-17.2019.8.17.0001
0000068-47.2017.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM08/0000068-47.2017.8.17.0001
0023018-72.2018.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM08/0023018-72.2018.8.17.0001
0035398-35.2015.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM08/0035398-35.2015.8.17.0001
0003787-79.2006.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM08/0003787-79.2006.8.17.0001
0005254-05.2020.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM08/0005254-05.2020.8.17.0001
0014024-89.2017.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM08/0014024-89.2017.8.17.0001
0013662-19.2019.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM08/0013662-19.2019.8.17.0001
0007619-32.2020.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM08/0007619-32.2020.8.17.0001
0004598-48.2020.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM08/0004598-48.2020.8.17.0001
0007480-80.2020.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM08/0007480-80.2020.8.17.0001
0001422-27.2021.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM08/0001422-27.2021.8.17.0001
0021588-51.2019.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM08/0021588-51.2019.8.17.0001
0004820-16.2020.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM08/0004820-16.2020.8.17.0001
0007612-40.2020.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM08/0007612-40.2020.8.17.0001
0017098-83.2019.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM08/0017098-83.2019.8.17.0001
0004958-80.2020.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM08/0004958-80.2020.8.17.0001
0006387-82.2020.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM08/0006387-82.2020.8.17.0001
0006690-04.2017.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM08/0006690-04.2017.8.17.0001
0001889-06.2021.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM10/0001889-06.2021.8.17.0001
0010201-39.2019.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM10/0010201-39.2019.8.17.0001
0003005-47.2021.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM10/0003005-47.2021.8.17.0001
0009298-67.2020.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM10/0009298-67.2020.8.17.0001
0000317-49.2020.8.17.0001;/TJPE/CAPITAL/CRIMINAL/VCRIM10/0000317-49.2020.8.17.0001
